epoch,phase,loss,acc,ece,nll
1,train,1.555676792678833,0.43238,0.0,0.0
1,val,1.555237166786194,0.4872,0.1892187072753906,1.5552372079849244
2,train,0.99493677734375,0.64476,0.0,0.0
2,val,0.9307871994018555,0.6676,0.10586601467132568,0.9307872253417969
1,train,1.629707498550415,0.40932,0.0,0.0
1,val,1.259395909881592,0.5485,0.1127838582277298,1.259395938873291
1,train,1.629707498550415,0.40932,0.0,0.0
1,val,1.259395909881592,0.5485,0.1127838582277298,1.259395938873291
2,train,1.039021908569336,0.62498,0.0,0.0
2,val,1.0137685844421387,0.641,0.11097858219146728,1.0137686182022094
