epoch,phase,loss,acc,ece,nll
1,train,1.9933314287567139,0.28374,0.0,0.0
1,val,1.6415638719558716,0.3945,0.09597985172271728,1.6415639024734496
2,train,1.607978592567444,0.40896,0.0,0.0
2,val,1.524111657524109,0.4451,0.09915215175151824,1.524111689567566
